name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,score,original_score,flag_contaminant,contaminant_type,info
J1515-0322,228.9374,-3.375,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.44) + star
J1528+3932,232.1666,39.54138,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.217) + star
J1547-0430,236.8666,-4.51111,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.913) + star
J1554-2818,238.5083,-28.3094,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,GALAXIES,galaxy pair (z=0.021)
J1556+3004,239.0958,30.07861,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,GALAXIES,likely merging active galaxies (z=0.121)
J1608-2738,242.0041,-27.6469,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,stars (probably)
J1618+3013,244.6666,30.21972,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.406) + likely star
J1626+0956,246.6041,9.94333,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.227) + star
J1638+4024,249.5916,40.40361,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.256) + star
J1642-2012,250.5749,-20.208,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,stars (probably)
J1648+3823,252.1208,38.39083,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.432) + star
J1653-0026,253.3624,-0.44444,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+OTHER,quasar (z=1.977) + blue continuum
J1654-1201,253.6374,-12.02,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J1659+4528,254.9166,45.47944,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,GALAXIES,galaxy pair (z=0.260 + z=0.261)
J1700+0058,255.1,0.97056,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.067) + star
J1706+5353,256.5291,53.88666,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,GALAXIES,galaxy pair (z=0.191 + z=0.192)
J1711+2848,257.8374,28.805,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.907) + star
J1711+2929,257.7541,29.49722,PUB,,2021ApJ...921...42S,False,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.328) + star
