name,ra,dec,imagename,paper_id,flag_discovery,redshift_source,redshift_source_secure,flag_source_redshift,redshift_lens,redshift_lens_secure,flag_lens_redshift,n_images,image_configuration,image_separation,lens_type,source_type,flag_confirmed,flag_contaminant,contaminant_type,flag_candidate,candidate_score,original_score,uploader_comment,other_comment
DESI-069.0007-11.5477,69.00067,-11.5477,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-070.1899-18.4737,70.18989,-18.4737,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-070.1928-26.9754,70.1927599999999,-26.9754,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-070.4130-09.7774,70.413,-9.7774,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-070.6171-09.1904,70.61713,-9.1904,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-073.5286-10.2227,73.52855,-10.2227,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-073.9030-25.5129,73.903,-25.5129,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-074.9643-30.7236,74.96425,-30.7236,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-075.2790-24.4179,75.279,-24.4179,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-078.3561-30.8433,78.35614,-30.8433,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-081.7547-18.9674,81.75473,-18.9674,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-082.1548-26.5667,82.15481,-26.5667,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-083.5074-25.3491,83.5074,-25.3491,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-086.3066-26.5884,86.3066,-26.5884,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-087.1525-36.2427,87.1525,-36.2427,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-090.9854-35.9683,90.9854,-35.9683,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-094.5639+50.3059,94.56389,50.3059,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-102.2440+36.2021,102.24395,36.2021,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-104.1909+38.7456,104.19085,38.7456,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-107.5775+40.1752,107.57751,40.1752,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-109.4199+46.4087,109.4199,46.4087,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-109.9018+27.9032,109.901789999999,27.9032,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-109.9255+57.3569,109.92546,57.3569,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-110.4891+49.8801,110.48911,49.8801,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-111.9670+30.2010,111.967,30.201,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-115.3417+37.4889,115.341689999999,37.4889,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-116.3092+33.6326,116.30915,33.6326,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-118.4491+20.9528,118.449089999999,20.9528,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-118.8480+34.7610,118.848,34.761,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-130.6476+30.3670,130.6476,30.3669999999999,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-131.6362-01.9047,131.63619,-1.9047,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-134.3046+16.4322,134.30459,16.4322,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-139.5922+61.1759,139.59216,61.1759,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-141.4491+37.3023,141.44905,37.3023,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-142.0189+20.5292,142.0189,20.5292,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-142.9212-06.7297,142.9212,-6.7297,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-147.9185+07.5090,147.91853,7.50899999999999,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-148.1676+34.5795,148.16759,34.5795,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-151.1424+41.2121,151.14238,41.2121,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-151.2154-00.5291,151.2154413,-0.5291080368,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-151.7182-07.9276,151.7182,-7.9276,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-153.7269+44.2610,153.7269,44.261,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-153.7937+32.5308,153.7937,32.5308,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-156.8137+11.8314,156.8137,11.8314,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-157.4222+20.4043,157.4222,20.4043,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-157.6135-06.6858,157.61347,-6.6858,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-160.1716+18.8477,160.1716,18.8477,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-161.1159+31.2337,161.11593,31.2337,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-161.4114-08.8359,161.41136,-8.8359,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-162.3475+35.7447,162.34745,35.7447,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-164.9800+42.8595,164.98,42.8595,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-166.9974+04.1560,166.99735,4.156,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-168.7683+16.7607,168.7683,16.7607,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-169.2414+14.7197,169.241439999999,14.7197,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-169.9718+14.7456,169.9718,14.7456,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-173.3049+50.1444,173.30487,50.1444,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-174.5481+14.7863,174.5481,14.7863,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-175.0410+22.8792,175.04099,22.8792,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-175.4961+19.3041,175.49606,19.3041,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-176.0987+17.7551,176.09865,17.7551,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-178.0775+08.8170,178.07746,8.817,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-179.0228+19.1869,179.02276,19.1869,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-179.5632-06.6056,179.56323,-6.6056,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-179.8326+61.7939,179.83257,61.7939,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-180.2708-02.3681,180.2708,-2.3681,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-181.9031+52.9176,181.90313,52.9176,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-183.0792+27.5646,183.0792,27.5646,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-186.8276-07.1227,186.8276278,-7.12270911299999,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-187.2782+59.1413,187.27819,59.1413,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-188.2155+27.0359,188.21549,27.0359,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-189.4008+55.5619,189.40084,55.5619,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-189.9885+12.6693,189.9885,12.6693,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-190.1345+45.1508,190.13454,45.1508,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-190.6911+75.8730,190.6911,75.873,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-190.7929+21.3329,190.79289,21.3329,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-191.2226+04.2210,191.22262,4.221,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-192.4699+03.1592,192.469939999999,3.1592,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-192.9428+01.7155,192.94281,1.7155,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-196.4575+22.9256,196.45754,22.9256,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-197.5704+14.7474,197.5704,14.7474,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-200.7252+58.1651,200.72518,58.1651,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-200.7678+03.7216,200.7678,3.7216,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-205.1910+38.5483,205.19098,38.5483,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-211.6718+08.7580,211.6718367,8.758033405,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-211.9734-00.4713,211.97335,-0.4713,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-214.3545+76.2152,214.3545,76.2152,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-218.2479-07.2268,218.24791,-7.2268,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-218.3457+60.1209,218.34566,60.1209,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-218.4715+14.0687,218.4715,14.0687,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-220.4549+14.6891,220.454889999999,14.6891,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-221.8241+78.0430,221.8241,78.043,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-227.3528+39.0279,227.35276,39.0279,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-227.5364+20.6236,227.53636,20.6236,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-234.8707+16.8379,234.87072,16.8379,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-240.8979+05.8745,240.8979,5.8745,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-241.2220+74.5292,241.222,74.5292,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-245.7514+21.6226,245.7514,21.6226,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-246.0062+01.4836,246.00623,1.4836,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-248.5498+70.9303,248.549779999999,70.9303,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
DESI-252.2720+02.3993,252.272029999999,2.3993,,2021ApJ...909...27H,True,,,,,,,,,,,,False,False,,True,3.0,A,,
